YearDrafted,Player,OverallRank,VORP,Team,OverallReDraft,RankDeficit,RankDeficitWeighted
2008,Semih Erden,60,0.0,BOS,30,30.0,0.5
2008,Deron Washington,59,-5.0,DET,52,7.0,0.11864406779661017
2008,Joe Crawford,58,0.0,LAL,30,28.0,0.4827586206896552
2008,James Gist,57,-5.0,SAS,52,5.0,0.08771929824561403
2008,Sasha Kaun,56,0.0,SEA,30,26.0,0.4642857142857143
2008,Mike Taylor,55,-0.7,POR,43,12.0,0.21818181818181817
2008,Maarty Leunen,54,-5.0,HOU,52,2.0,0.037037037037037035
2008,Tadija Dragićević,53,-5.0,UTA,52,1.0,0.018867924528301886
2008,Darnell Jackson,52,-0.7,MIA,43,9.0,0.17307692307692307
2008,Shan Foster,51,-5.0,DAL,52,-1.0,-0.0196078431372549
2008,DeVon Hardin,50,-5.0,SEA,52,-2.0,-0.04
2008,Richard Hendrix,49,-5.0,GSW,52,-3.0,-0.061224489795918366
2008,Malik Hairston,48,0.0,PHO,30,18.0,0.375
2008,Henry Walker,47,0.5,WAS,26,21.0,0.44680851063829785
2008,Trent Plaisted,46,-5.0,SEA,52,-6.0,-0.13043478260869565
2008,Goran Dragić,45,16.7,SAS,7,38.0,0.8444444444444444
2008,Ante Tomić,44,-5.0,UTA,52,-8.0,-0.18181818181818182
2008,Patrick Ewing,43,0.0,SAC,30,13.0,0.3023255813953488
2008,Sean Singletary,42,-0.2,SAC,38,4.0,0.09523809523809523
2008,Nathan Jawai,41,-0.2,IND,38,3.0,0.07317073170731707
2008,Chris Douglas-Roberts,40,-1.0,NJN,47,-7.0,-0.175
2008,Sonny Weems,39,-1.9,CHI,48,-9.0,-0.23076923076923078
2008,Kyle Weaver,38,0.3,CHA,27,11.0,0.2894736842105263
2008,Luc Mbah a Moute,37,4.9,MIL,19,18.0,0.4864864864864865
2008,Ömer Aşık,36,1.1,POR,24,12.0,0.3333333333333333
2008,DeAndre Jordan,35,24.4,LAC,4,31.0,0.8857142857142857
2008,Mario Chalmers,34,9.8,MIN,12,22.0,0.6470588235294118
2008,Joey Dorsey,33,0.3,POR,27,6.0,0.18181818181818182
2008,Walter Sharpe,32,-0.1,SEA,36,-4.0,-0.125
2008,Nikola Peković,31,2.0,MIN,22,9.0,0.2903225806451613
2008,J.R. Giddens,30,-0.2,BOS,38,-8.0,-0.26666666666666666
2008,D.J. White,29,-0.7,DET,43,-14.0,-0.4827586206896552
2008,Donté Greene,28,-2.0,MEM,49,-21.0,-0.75
2008,Darrell Arthur,27,0.3,NOH,27,0.0,0.0
2008,George Hill,26,19.0,SAS,5,21.0,0.8076923076923077
2008,Nicolas Batum,25,26.8,HOU,2,23.0,0.92
2008,Serge Ibaka,24,14.3,SEA,8,16.0,0.6666666666666666
2008,Kosta Koufos,23,3.3,UTA,20,3.0,0.13043478260869565
2008,Courtney Lee,22,9.8,ORL,12,10.0,0.45454545454545453
