Club,Total_Minutes_of_most_featured_11,Total_Minutes
Arsenal,140351,176973
Aston Villa,105339,138813
Bournemouth,105992,138230
Brighton,120612,166077
Burnley,119212,155703
Chelsea,133320,194821
Crystal Palace,112499,162102
Everton,134746,321506
Leicester,119489,161817
Liverpool,151657,208537
Manchester City,150538,219651
Manchester United,124998,156889
Newcastle United,114704,312698
Norwich,105166,248804
Sheffield United,109887,142809
Southampton,122283,264388
Tottenham,150488,217086
Watford,126264,340698
West Ham,121446,185337
Wolverhampton Wanderers,122629,144198
