Club,Total_Minutes,Minutes_Deviation,Total_Minutes_11
Arsenal,201683,5029.403151397642,144603
Aston Villa,153157,3302.0760336543785,106642
Bournemouth,141200,3696.03081554709,107882
Brighton,173113,4228.410766772086,122644
Burnley,163461,3017.5492636945514,121274
Chelsea,187827,4047.951559563359,129484
Crystal Palace,184176,2639.600919511454,116751
Everton,163724,3389.7013003011284,115933
Leicester,164789,3177.9174733337964,121357
Liverpool,219816,3857.6554592271796,154501
Manchester City,230730,4386.2072908457485,153486
Manchester United,161358,5228.052062629562,127280
Newcastle United,167133,2923.9712038237512,104565
Norwich,127375,3147.801967293439,90365
Sheffield United,140654,3715.436182905012,108718
Southampton,139591,3729.761367957039,106217
Tottenham,231453,5121.288699471386,152872
Watford,182193,3208.1271092201196,113025
West Ham,188768,3364.643949824544,123241
Wolverhampton Wanderers,148970,4771.7623071921635,126193
