SquadMinutesRetained,EPLPosition_Difference,EPLPosition,EPLPts,ClubSquadNew,ClubSquadRetained,Club,Season,EPLPoints_Difference,ClubSquadSize,SquadMinutes,SquadMinutesNew
31412,3,5,75,7,22,Arsenal,2016/17,4,29,37512,6100
30890,1,6,63,8,22,Arsenal,2017/18,-12,30,37549,6659
26857,-1,5,70,8,20,Arsenal,2018/19,7,28,37596,10739
31090,-7,9,46,9,18,Bournemouth,2016/17,4,27,37563,6473
32965,3,12,44,4,18,Bournemouth,2017/18,-2,22,37601,4636
28607,2,14,45,9,19,Bournemouth,2018/19,1,28,37611,9004
28940,2,17,36,7,14,Brighton,2018/19,-4,21,37477,8537
25958,-9,7,54,10,14,Burnley,2017/18,14,24,37634,11676
35461,8,15,40,4,19,Burnley,2018/19,-14,23,37633,2172
25827,-9,1,93,8,16,Chelsea,2016/17,43,24,37635,11808
25882,4,5,70,14,12,Chelsea,2017/18,-23,26,37480,11598
27404,-2,3,72,5,19,Chelsea,2018/19,2,24,37631,10227
24963,-1,14,41,12,19,Crystal Palace,2016/17,-1,31,37634,12671
31709,-3,11,44,8,20,Crystal Palace,2017/18,3,28,37633,5924
30544,1,12,49,7,19,Crystal Palace,2018/19,5,26,37617,7073
22989,-4,7,61,10,17,Everton,2016/17,14,27,37641,14652
20556,1,8,49,14,16,Everton,2017/18,-12,30,37621,17065
24248,0,8,54,6,17,Everton,2018/19,5,23,37514,13266
29548,4,20,16,13,18,Huddersfield,2018/19,-21,31,37439,7891
31972,11,12,44,8,17,Leicester,2016/17,-37,25,37577,5605
28921,-3,9,47,10,17,Leicester,2017/18,3,27,37537,8616
25156,0,9,52,7,18,Leicester,2018/19,5,25,37418,12262
25114,-4,4,76,10,13,Liverpool,2016/17,16,23,37643,12529
27217,0,4,75,7,20,Liverpool,2017/18,-1,27,37576,10359
29741,-2,2,97,5,18,Liverpool,2018/19,22,23,37628,7887
29591,-1,3,78,7,18,Manchester City,2016/17,12,25,37577,7986
26445,-2,1,100,11,14,Manchester City,2017/18,22,25,37585,11140
36295,0,1,98,1,20,Manchester City,2018/19,-2,21,37633,1338
26000,1,6,69,11,20,Manchester United,2016/17,3,31,37615,11615
29308,-4,2,81,4,23,Manchester United,2017/18,12,27,37628,8320
34745,4,6,66,7,21,Manchester United,2018/19,-15,28,37581,2836
28205,3,13,45,8,16,Newcastle United,2018/19,1,24,37578,9373
29057,2,8,46,9,17,Southampton,2016/17,-17,26,37598,8541
30881,9,17,36,6,20,Southampton,2017/18,-10,26,37632,6751
28629,-1,16,39,10,20,Southampton,2018/19,3,30,37579,8950
26655,4,13,44,7,19,Stoke,2016/17,-7,26,37563,10908
24565,6,19,33,13,17,Stoke,2017/18,-11,30,37573,13008
23545,3,20,24,14,17,Sunderland,2016/17,-15,31,37554,14009
27548,3,15,41,9,18,Swansea,2016/17,-6,27,37639,10091
29455,3,18,33,9,17,Swansea,2017/18,-8,26,37560,8105
32357,-1,2,86,6,18,Tottenham,2016/17,16,24,37641,5284
32900,1,3,77,6,19,Tottenham,2017/18,-9,25,37577,4677
36432,1,4,71,3,25,Tottenham,2018/19,-6,28,37540,1108
24840,4,17,40,20,13,Watford,2016/17,-5,33,37592,12752
25256,-3,14,41,11,18,Watford,2017/18,1,29,37457,12201
30795,-3,11,50,7,18,Watford,2018/19,9,25,37460,6665
28162,-4,10,45,7,16,West Bromwich Albion,2016/17,2,23,37635,9473
24428,10,20,31,9,15,West Bromwich Albion,2017/18,-14,24,37624,13196
28059,4,11,45,13,16,West Ham,2016/17,-17,29,37550,9491
27363,2,13,42,9,18,West Ham,2017/18,-3,27,37519,10156
20332,-3,10,52,14,12,West Ham,2018/19,10,26,37593,17261
