Group,Team,WeightedAge,xGSum,Goals,xGDiff,Points,SuccessfulDribbles
Group E,Genk,23.16,7,5,-2,1,90
Group H,Lille,23.31,7.6,4,-3.6,1,71
Group A,Galatasaray,29.35,3.3,1,-2.3,2,78
Group F,Slavia Prague,26.35,7.8,4,-3.8,2,50
Group B,FK Crvena Zvezda,27.07,4.1,3,-1.1,3,56
Group D,Lokomotiv Moscow,28.02,5.7,4,-1.7,3,59
Group A,Club Brugge,24.89,7.7,4,-3.7,3,78
Group B,Olympiacos,25.78,7.7,8,0.3,4,89
Group C,Dinamo Zagreb,25.22,6.5,10,3.5,5,79
Group C,Shakhtar Donetsk,27.97,6.8,8,1.2,6,83
Group D,Bayer Leverkusen,26.38,5.1,2,-3.1,6,80
Group E,Salzburg,23.60,12.8,16,3.2,7,59
Group G,Benfica,24.40,7.3,9,1.7,7,62
Group F,Inter,27.34,9.2,10,0.8,7,66
Group G,Zenit St. Petersburg,27.48,6,6,0,7,51
Group C,Atalanta,27.06,12.6,8,-4.6,7,62
Group G,Lyon,24.49,6.2,9,2.8,8,130
Group B,Tottenham,26.05,13.7,18,4.3,10,106
Group H,Ajax,24.31,6.7,10,3.3,10,67
Group F,Borussia Dortmund,25.49,9.9,8,-1.9,10,76
Group D,Atletico Madrid,25.66,10.6,8,-2.6,10,73
Group H,Valencia,27.11,8.3,8,-0.3,11,45
Group A,Real Madrid,26.97,14.7,14,-0.7,11,94
Group G,RasenBallsport Leipzig,23.93,12.8,10,-2.8,11,73
Group H,Chelsea,24.72,14.3,11,-3.3,11,97
Group E,Napoli,26.53,10.3,11,0.7,12,66
Group E,Liverpool,26.62,11.1,13,1.9,13,100
Group C,Manchester City,26.69,15.9,16,0.1,14,97
Group F,Barcelona,26.83,10,8,-2,14,104
Group D,Juventus,28.62,9.4,12,2.6,16,82
Group A,Paris Saint-Germain,26.91,14.5,17,2.5,16,83
Group B,Bayern Munich,26.42,18.9,24,5.1,18,88
