NPxG,Assists,PKAttempts,PlayerName,Starts,PlayerPos,xA,PlayerAge,xG,MatchesPlayed,Goals,Team,RedCards,Minutes,PlayerNat,YellowCards,PKScored,Shots_on_target,pens_made,Shots,Shots_from_FK,passes_right,passes_completed,passes_left,passes_long,passes_short,passes,passes_fk,key_passes,through_balls,passes_corner,passes_completed_long,passes_penalty_area,cross_penalty_area,throw_ins,passes_medium,passes_completed_short,passes_final_third,passes_completed_medium,nutmegs,crosses,own_goals,fouls,pens_conceded,dribblers_tackles_attempted,players_dribbled_past,dribbled_past,fouled,dribbles,offsides,pens_won,dribbles_completed,dribblers_tackled,interceptions,tackles_won
0.0,0,0,Abdou Diallo,1,DF,0.0,23,0.0,3,0,Paris Saint-Germain,0,109,FRA,0,0,0,0,0,0,12,75,65,17,3,82,4,0,0,0,17,0,0,4,62,3,0,59,0,0,0,5,0,2,0,1,0,0,0,0,0,1,0,1
0.0,0,0,Ander Herrera,1,MF,0.0,29,0.0,3,0,Paris Saint-Germain,1,99,ESP,1,0,0,0,1,0,61,53,3,7,2,65,0,0,0,0,7,1,0,0,56,2,1,48,0,0,0,2,0,4,4,1,3,6,0,0,4,3,3,2
0.0,0,0,Colin Dagba,1,DF,0.1,20,0.0,1,0,Paris Saint-Germain,0,90,FRA,0,0,0,0,1,0,39,48,7,11,1,57,0,1,0,0,11,0,0,11,45,0,1,42,0,5,0,0,0,1,0,1,0,1,1,0,0,0,2,0
0.0,0,1,Edinson Cavani,0,"FW,MF",0.0,32,0.8,2,1,Paris Saint-Germain,0,40,URU,0,1,0,1,0,0,10,11,4,2,0,15,0,0,0,0,2,0,0,0,13,0,0,10,0,0,0,0,0,2,0,1,1,1,1,0,0,1,0,1
0.1,0,0,Eric Maxim Choupo-Moting,1,FW,0.7,30,0.1,3,0,Paris Saint-Germain,1,101,CMR,1,0,0,0,2,0,32,35,6,4,5,45,0,2,1,0,4,1,0,0,36,2,1,32,0,0,0,5,0,5,2,3,2,5,1,0,2,2,1,2
0.1,1,0,Idrissa Gana Gueye,4,MF,0.2,29,0.1,4,0,Paris Saint-Germain,0,315,SEN,0,0,0,0,3,0,205,209,21,33,9,231,7,3,0,0,33,2,0,0,189,6,18,177,0,1,0,7,0,16,4,7,7,5,0,0,4,9,8,3
0.0,2,0,Juan Bernat,6,"DF,FW",1.5,26,0.0,6,0,Paris Saint-Germain,1,525,ESP,1,0,0,0,1,0,10,260,240,29,13,299,9,6,0,0,29,7,2,41,257,7,8,235,0,6,0,3,0,26,13,14,8,18,1,0,13,12,6,7
0.1,0,0,Julian Draxler,0,"FW,MF",0.0,25,0.1,2,0,Paris Saint-Germain,0,22,GER,0,0,0,0,1,0,25,25,4,6,1,29,0,0,0,0,6,0,0,0,22,0,2,21,0,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0
0.0,0,0,Keylor Navas,5,GK,0.0,32,0.0,5,0,Paris Saint-Germain,0,450,CRC,0,0,0,0,0,0,116,116,14,101,1,162,13,0,0,0,101,0,0,0,60,0,0,60,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
4.8,3,0,Kylian Mbappé,3,FW,1.8,20,4.8,5,5,Paris Saint-Germain,0,330,FRA,0,0,10,0,17,1,137,143,38,26,15,181,0,6,0,1,26,5,0,2,140,8,9,119,0,8,0,1,0,5,12,3,4,25,2,1,11,2,1,1
